No ve maravegi� cari Signori,;0W1W0101W 10W01xW
Si son intrao � far sta bizzarria,;0W1W01W 0W1W0W001xW
Che per no dirve ponto di busia,;0W0W0W10W 10W0W01xW
Vedo che 'l mondo vuol de sti saori;10W0W10W1W0W1W01xW
So che dir� certi compositori,;1W0W01W 10W1001xW
Che son vergogna a Dona Poesia;0W1W01_0W10W101xW
Ma se i savesse la mia fantasia,;0W1_W010W 0W1W101xW
I sarave i mie primi deffensori.;1W010_0W 1W10W101xW
Me par ch'ognun pol far del so cervelo;0W1W01W 0W1W0W1W01x
Zo che ghe piaxe al sagramento mio,;1W0W0W1 0_0W0010W1xW
E chi nol crede, si vaga al bordelo,;0W1W0W10W 0W10_0W01xW
L'� pezzo haver el lavezzo schachio,;0W10W01W 0W010W1xW
E le calze fruae, con el mantelo,;0W0W10W01 0W0W01xW
Cha far el grando dottorao a Lio.;0W1W0W10W 1010_0W1W
;
Si havesse bevuo in Helicona,;1W010W010_0W101xW
E manzao de l'herbe de Pernaso,;1W010W0W10W0W01xW
O che alle Muse havesse dao del naso;0W0_10W10_010W1W0W1xW
No sarave trattao da una pipona.;1W010W01W 1_0W01xW
Mo sil piasesse al putto de Latona,;0W1W010_0W10W 0W01xW
Che cavalcasse sora del Pegasa;1W0010W10W0W01xW
Farave dir de mi, onde che taso,;0W1W0W1W0W1W 10W0W1xW
Infina che Minerva me spirona.;010W1W010W1W01xW
Perche si ben e son dalla contrae,;01W0W1W0W1W 10W01xW
Nassuo infra canestri, ree, e treziole;10W10W010W 1_W01xW
So far d'un pan tre fette, e do panae.;0W1W0W1W0W1 0_0W1W01xW
Altro ghe vuol, cha centure, e parole,;10W0W1W 1W01 0_0W01xW
A farsi tegnir savij in veritae,;0W10W01W10_0W101xW
Se no se par da Mascare Verole.;0W1W0W1W0W100W01xW
;
Le Muse si m'ha tolto � zudegar,;0W10W1W0W1 0_1W101
E vol che al mio despetto sia Poeta;0W1W0_0W1W010W1W01xW
Dagandome una certa riegoleta,;0101_0W10W101xW
Che saver�, senza mai studiar.;1W001W 10W10W01W
Parnaso si m'ha dao puo da manzar;010W1W0W1W 0W1W01W
De le so herbe, in t'una fritoleta;0W0W0W10_0W10W101xW
E Helicona m'ha messo una borseta,;0_0010W0W10_10W01xW
Per farme ogni grossezza evacuar.;0W1_10W010W 101W
Minerva al cao m'ha fatto un'onzion;010_0W1W 0W10W101W
El Pegaseo si m'ha tolt'a redosso,;0W101W 1W0W10W01xW
E Apollo m'ha donao el so Liron.;0W010W 1W01_W1W01W
Giunon m'ha dao el so rochetto in dosso,;01W0W1W0W1W010_0W1x W
E Mercurio el parlar de Ciceron;0W010_0W01W 0W101W
Grasso, ch'a puochi el ciel ghe cola adosso.;10W0W10_0W1W0W10_01xW
;
Benedeto sia 'l zorno, e 'l mese, e l'anno,;1010W0W10_01_01xW
E le stason, el tempo, e l'hora el ponto,;0W0W01W 0W10_0W10_0W1xW
E la contr�, el liogo, onde fu zonto;0W0W01W 0W1_10W0W1xW
Da quel bel viso, che me fa gran dano.;0W1W0W10W 1W0W1W0W1xW
Sia benedeto el primo dolce affanno,;1W1010_0W10W10_01xW
Ch'Amor m'ha dao quando son sta conzonto;01W0W1W 10W0W1W01xW
E l'arco con le frezze, che m'ha ponto;0W10W0W0W10W 1W0W1xW
D'una piagha mortal, piena d'inganno.;10W10W01W 10W01xW
Benedeta la boxe, el so parlar,;1010W0W1 0_0W1W01W
I passi, el sonno, i vecci, e la bellezza,;0W1 0_0W1 0_01 0_0W0W01xW
I andamenti, el star, el caminar.;0W101 0_0W1W 0W101W
Sia benedetta quella so vaghezza,;1W1010W 10W1W01xW
El so vestir, col so pulio manzar;0W1W01W 0W1W01W01W
De far la morte star in allegrezza.;0W1W0W10W1W 0W101xW
;
;
O belle man, che m'allegrao el viso;0W10W1W 1W001W0W1xW
O vitta galantina, petto bianco,;0W10W1010W 10W1xW
O bona gratia, che m'ha averto 'l fianco;0W10W10W 1W0_010W1xW
Portando 'l cuor de l� dal Paradiso;010W1W 0W1W0W101xW
Occhi sassini, sotto un bravo friso,;10W010W 10_0W10W1xW
De laudarve mai no sar� stanco,;1W010W1W0W01W 1xW
Quando saroio un zorno per vu franco;10W010_0W10W0W0W1xW
De cusi caro, e cusi gran serviso?;0W10W1 0_0W10W1W01xW
Cho penso alla presentia tanto degna,;0W1_10W010W 10W1xW
Ston tutto stupeffao amirativo,;1W10W101 0_0101xW
S'il cagasangue adesso no me vegna,;0W101 0_010W1W0W1xW
Da che hora haveroio el vostro olivo;0W0W10W 010_0W10_01xW
Anema mia? d'ogni vertue pregna,;100W1W 10W01W01xW
Che muoro in vu, e in vu ritorno vivo.;0W10_0W1W 0_0W1W010W1xW
;
Dolce ire, dolce paxe, dolci sdegni,;1_10W 10W10W 10W1xW
Dolce mal, dolce ben, e dolce peso,;10W1W 10W1W 0W10W1xW
Dolce parlar, dolce vardar suspeso,;10W01W 10W01W01xW
Dolce pensar, e dolci, e bei desegni.;10W01W 0W1 0_0W1W01xW
Dolce'l negociar, cho i dolci pegni,;10W101W 1W0W10W1xW
Dolce quel zorno, che fo vento, e preso,;10W0W10W 0W1W1 0_0W1xW
Dolce le hore, che son stao offeso,;10W0W10W 0W1W1W01xW
Piu dolce, che si havesse mille regni.;0W10W 1W0_010W10W1xW
Dolce quel passizar per geometria,;10W0W101W 0W101W
Dolce quei so vardari mansuetti,;10W0W1W 010W101xW
E dolce'l so mostrarse in ogni via.;0W10W1W 010_0W10W1W
Dolci occhi, che si dolci fa i so sonni,;1_10W 1W0W10W1W0W1xW
O dolce vita, con golosi effetti,;0W10W10W 0W010_01xW
O dolce carne, o dolci cari donni.;0W10W1 0_0W10W10W1xW
;
Parer� forsi stranio a le brigae,;101W10W1 0_0W0W01W
Se lauder� culie, che me tormenta;0W101W01W 1W0W01xW
In fatti, in ditti, o dove me talenta,;0W1 0_0W1 0_0W10W1W01xW
Astretto da la so rara beltae.;010W0W0W1W 10W01W
Amor m'ha d� manzar de ste panae;01W0W1W01W 0W1W01W
E vuol ch'ai mio despeto me contenta;0W1W0W1W010W 0W01xW
De forte che'l Tesin, Po, Sil, e Brenta,;0W10W1W01W 1W 1W 0W1xW
E i monti, e i boschi, si ha de mi pietae.;0_0W1 0_0W10W _1W0W1W01W
No trovo con presenti, o servitue;0W10W0W01 0_0W101W
Una bona parola, ni un cignetto,;10W10W010W 1_W01xW
Ben puovere fadighe, mal passue,;0W100W010 W1W01W
A grizzoli, ho pur qualche saoretto;0W100W 0W0W10W01xW
Ma slagagnoso, che par pie de grue,;0W0010W 0W1W1W0W1W
El resto stago, cho fa un cagnoletto.;0W10W10W 0W1_0W001xW
;
Si credesse per morte insir de pene,;0W010W0W1 0_01W0W1xW
Col mio bizzaccho restaria amazao,;0W1W010W 101W01xW
O ingropando la becha strangolao;0_0010W0W10W 101xW
Ho ponto � una a una, le mie vene.;0W10_0_10_0_10W 0W0W1xW
Overamente battuo con tre caene;01010W01W 0W01xW
Tanto che m'haveria desnombolao,;10W1W001W 0101xW
O in t'un canal me sarave negao,;0_0W0W01W 0W010W01xW
O impio de piombo le recchie ben piene.;0_10W0W10W 0W10W0W1xW
Ma el dolor, che ho si furibondo,;0W0W01W 0W1W0W101xW
Causao d'Amor, pien de mille diavoli,;010W01W 1W0W10W1xxW
Me durer� fina in l'altro mondo.;0W101W 10W0W10W1xW
El remedio sarave, a varir presto,;0W010W01 0_0W01W1xW
Far do agui, in un tratto, in una calda,;1W0_01 0_0W0W1 0_0W10W1xW
Zoe, che Madonna, e mi fesse del resto.;1W 0W01 0_0W0W10W0W1xW
;
Ascolto pur, e no aldo novella,;010W1W 0W0W10W01xW
De quella cara, e dolce mia nemiga;0W10W1 0_0W10W1W01xW
Ni so che far, nianche so che me diga,;0W1W0W1W 10W1W0W0W1xW
Chel cuor teme, e speranza s'il pontella.;0W1W1 0_0W010W0W01xW
Ghe voio ben, e sia mo brutta, o bella,;0W10W1W 0W1W0W1 0_0W1xW
Pezzo che una Gabrina, o qualche striga,;10W0_10W01 0_0W10W1xW
E fin che vivo, la sar� mia amiga;0W1W0W10W 1W01W0_1xW
Destinada dal Ciel e d'ogni stella,;1010W0W1W 0W10W1xW
Perche no se comuove a passion,;01W0W1W010W 0W01W
Qualche mio amigo, e far che la se placha.;10W0_01 0_0W1W0W1W0W1xW
Che l'� mercede, aidar un tribulao.;0W1W01 0_01W0W101xW
Von a la becharia, come una vacha,;1W0W0W101W 10_10W1xW
Tanto Cupido me tien infrezzao,;10W010W 0W1W101xW
Perchel cognosse, che son troppo bon.;01W010W 1W0W10W1W
;
Za chel ciel, e la terra, el vento tase;1W0W1W0W0W10_0W10W1xW
E che ogni anemal dorme de vena;0W0W10_001W10W0W1xW
La notte, le so stelle a torno mena,;0W10W0W0W10_0W10W1xW
E in tel so letto, el mar senz'onde zase.;0_0W1W0W10_0W1W0W10W1xW
Mi pianzo, penso, e ardo in tre fornase;0W10W10_0W10_0W1W01xW
Continuamente, per mia dolce pena;01010W0W0W10W1xW
Ond'ho la mente d'ira, e d'ogia piena,;01W0W10W10_0W10W1xW
Ma pensando � madonna ho qualche pase.;0W010_0W010_0W10W1xW
Perche certo col� ch'� inamorao,;01W1 0W01W0_0101W
Sconvien patir sette mille supplitij,;01W01W10W10W01xW
