Qui no es trist, de mos dictats no cur,;1W0W0W1W 0W1W01W0W1W
o'n algun temps que sia trist estat,;1W01W1W 0W1W0W1W01W
e lo qui es de mals apassionat,;1W0W0W1W 0W1W0101W
per fer se trist no cerque loch escur;0W1W0W1W 0W10W1W01W
lija mos dits mostrans penssa torbada,;10W0W1W 01W10W01 XW
sens algun'art exits d'om fora seny,;1W01W1W 01W0W10W1W 
e la raho qu'en tal dolor m'enpeny;1W0W01W 0W1W01W01W 
Amor ho sab, qui n'es la causa estada.;01W0W1W 0W1W0W10_01 Xw
;
Alguna part, e molta, es trobada;010W1W 0W10W1W01xW
de gran delit en la pensa del trist,;0W1W01W 0W0W10W0W1W
e si les gents ab gran dolor m'an vist,;0W1W0W1W 0W1W01W0W1W
de gran delit m'arma fon conpanyada.;0W1W01W 10W1W001xW 
Quant simplament Amor en mi habita,;0W101W 01W0W1W01 Xw
tal delit sent que no 'm cuyt ser al mon,;1W01W1W 0W1W0W1W0W1W
e com sos fets vull veure de pregon;0W1W0W1W 0W10W1W01W
mescladament ab dolor me delita.;0101W 0W01W0W01xW
;
Prest es lo temps que fare vida'rmita;1W0W0W1W 0W01W101xW
per mils poder d'Amor les festes colrre;0W1W01W 01W0W10W1xW
d'est viure strany algu no's vulla dolrre,;1W10W1W 01W0W10W1XW
car per sa cort Amor me vol e 'm cita.;0W0W0W1W 01W0W1W0W1XW
E yo qui 'l am per si tant solament,;0W1W0W1W 0W1W0W101W
no denegant lo do que pot donar,;1W001W 0W1W0W1W01W
a ssa tristor me plau abandonar;0W0W01W 0W1W0101W
e per totstemps viur' entristadament.;0W0W01W 1W00101W
;
Traure no pusch de mon enteniment;10W0W1W 0W1W0101W
que sia cert e molt pus bell partit;0W10W1W 0W1W0W1W01W
sa tristor gran que tot altre delit,;0W01W1W 0W1W10W01W
puys hi recau delitos languiment.;1W0W01 0W010W01W
Alguna part de mon gran delit es;010W1W 0W0W1W01W1W
aquella que tot home trist aporta,;010W1W 1W10W1W01XW
que planyent si lo planyer lo conforta;0W01W0W 0W01W0W01x
mes que si d' ell tot lo mon se dolgues.;0W1W0W1W 1W0W1W0W01W
;
Esser me cuyt per moltes gents repres;10W0W1W 0W10W1W01W
puys que tant lou viur'en la vida trista,;1W0W0W1W 10W0W10W1XW
mas yo qui he sa glori'a l'ull ja vista,;0W1W0W1W 0W10W1W0W1xW
desig sos mals puys delit y es promes.;01W0W1W 1W01W0W0W1W
No s' pot saber menys de lla esperien�a,;0W1W01W 1W0W1W001XW
lo gran delit qu' es en lo sols voler;0W1W01W 1W0W0W1W01W
d' aquell qui es amador verdader;01W0W1W 101W001
e ama si vehent s'en tal volen�a.;0W10W1W 01W0W1W01XW
;
Lir entre carts, Deu vos don conexen�a;1W10W1W 1W0W1W001XW
com so per vos a tot estrem posat;0W1W0W1W 0W1W01W01W
ab mon poder Amor m' ha 'nderocat;0W1W01W 01W1W001W
sens aquell seu d' infinida poten�a.;1W01W1W 0010W01XW 
;
Axi com cell qui desija vianda ;01W0W1W 1W010W01xW
per apagar sa perillosa fam,;0W101W 0W1010W1W
e veu dos poms de fruyt en hun bell ram,;0W1W0W1W 0W1W0W1W0W1W
e son desig egualment los demanda,;0W1W01W 011W0W01xW 
no l' complira fins part haja 'legida,;1W001W 0W1W10W01xW
si que 'l desig vers l' un fruyt se decant,;0W1W01W 0W0W1W0W01W
aix�im'a pres dues dones amant,;0W1W0W1W 10W10W01
mas elegesch per haver d' Amor vida.;0W101W 1W01W01W1xW
 ;
Si com la mar se plan greument e crida;1W0W0W1W 0W1W01W0W1xW
com dos forts vents la baten egualment,;0W1W1W1W 0W10W011W
hun de levant e altre de ponent,;1W0W01W 0W10W1W01W
e dura tant fins l'un vent ha jaquida;0W10W1W 0W0W1W0W01xW
sa for�a gran per lo mes poderos,;0W10W1W 1W0W0W101W
dos grans desigs han combatut ma pensa,;0W1W01W 1W001W0W1xW
mas lo voler vers hu seguir dispensa;0W1W01W 0W1W01W01xW 
yo 'l vos publich: amar dretament vos.;1W0W01W 01W101W1W
;
;
E no cuydeu que tan ignoscent fos;0W1W01W 0W1W101W1W
que no vehes vostr'avantage b;0W1W01W 1W0010W1W
mon cors no cast estava congoxan;0W1W0W1W 010W101W
de perdre loch qui 'l era delitos.;0W10W1W 0W10W101W
una raho ab ell fon de sa part,;10W01W 0W1W1W0W0W1W
dient que 'n ell se pren aquest'amor;01W0W1 W0W1W01W01W
sentint lo mal o lo delit major,;01W0W1W 0W1W01W01W
si qu'ell content, cascu pot esser fart.;0W1W01W 01W0W10W1W
;
L' enteniment a parlar no vench tart,;0101W 0W01W0W0W1W
e planament desfeu esta raho,;0W101W 01W10W01W
dient que 'l cors, ab sa complexio,;10W01W 0W1W0W101W
ha tal Amor com hun lop o renar;0W1W01W 0W0W1W0W01W 
Que lur poder d' amar es limitat,;0W1W01W 01W1W001
car no es pus que un apetit brutal,;0W1W0W1W 0_1W001W01W
e si l' amant veheu dins la fornal,;1W0W01W 01W0W1W01W
no sera plant e molt menys defensat.;1W01W1W 0W1W0W101xW
;
Ell es qui ven� la sensualitat;1W0W0W1W 1W00101W
si be no es en ell prim moviment,;0W1W0W1W 0W1W1W001W
en ell sta del tot lo jutgament:;0W1W1W0W 1W0W101W
cert guiador es de la voluntat.;1W001W 1W0W0W101W
Qui es aquell qui en contra d' ell reny?;1W0W01W 1W0W10W1W1W
Que voluntat per qui l' fet s'executa,;1W001W 0W0W1W001xW 
l' atorch senyor, e si ab ell disputa,;01W01W 0W1W0W1W01xW
a la perfi se guia per son seny.;0W1W01W 0W10W1W0W1W
;
Diu mes avant al cors ab gran endeny:;1W1W01W 0W1W0W1W01W 
<<Vanament vols e vans son tos desigs,;101W1W 0W1W1W0W01W 
car dins hun punt tos delits son fastigs,;0W1W0W1W 0W01W0W01W 
romans ne llas, tots jorns ne prens enseny.;01W0W1W 0W1W0W1W01W
Ab tu mateix delit no pots haver:;0W1W01W 01W0W1W01W
tant est grosser qu' Amor no n'es servit;1W1W01W 01W0W1W01W
volenteros acte de be es dit,;0101W 10W0W1W0W1W
e d'aquest be tu no sabs lo carer.;1W01W1W 1W0W1W0W01W
;
Si be complit lo mon pot retener,;0W1W01W 0W1W1W001W
per mi es l'om en tan sobiran be,;0W1W0W1W 0W1W001W1W
e qui sens mi esperan�a'l rete;0W1W0W1W 0010W01W 
es foll o pech e terrible grosser>>.;0W1W0W1W 1W010W01W
Aytant com es l'enteniment pus clar,;01W0W1W 0101W0W1W
es gran delit lo que per ell se pren,;0W1W01W 0W1W0W1W0W1W
e son pillart es subtil pensamen,;0W1W01W 0W01W001W
qui de fins pasts no l'jaqueix endurar.;1W0W0W1W 1W01W001W 
;
;
Plena de seny, no pot Deu a mi dar,;10W0W1W 0W0W1W0W0W1W
ffora de vos, que descontent no camp;10W0W1W 0W101W0W1W
tots mos desigs sobre vos los escamp;1W0W01W 00W1W0W01W 
tot es dins vos lo que'm fa desijar.;1W0W0W1W 0W0W1W001W 
;
Lo viscahi qui�s troba n Alemanya,;1W001W 01W01W0W1xW
paralitich, que no pot senyalar,;1001W 0W0W1W001W
 si es malalt, remey no li pot dar;0W1W01W 01W0W0W1W1W
 metge del mon, si donchs no es d'Espanya,;10W0W1W 0W1W0W1W01xW
 qui del seu mal haura mes conexen�a;1W0W0W1W 00W1W001xW
 y entendra millor sa qualitat.;0W101 W01W0W101W
 Atal son yo en estrany loch posat,;01W0W1W 0W01W1W01W 
 c'altre sens vos ja no-m pot dar valen�a.;10W0W1W 1W00101xW
;
 Yo viu uns ulls haver tan gran poten�a;0W1W0W1 W01W0W1W01xW
 de dar dolor e prometre plaher;0W1W01W 1W010W01W
yo, smaginant, viu sus mi tal poder;1W001W 1W0W1W1W01W
 quen mon castell era sclau de remen�a;0W1W01W 10W1W0W01x
 yo viu un gest e senti una veu;0W1W0W1W 1W01W10W1W
dun feble cos, e cuydara jurar;0W10W1W 1W010W01W
qu'un hom armat yo-l fera congoxar:;0_0W1W01W 0W10W101W
sens rompre-m pel, yo-m so retut per seu.;0W10W1W 0W1W01W0W1W
;
Si com linfant que sab pel carrer seu;1W0W01W 0W1W0W01W1W
 prou be anar, segons sa poca edat,;1W1_01W 01W0W10W01
 si en esculls, per cas, se veu posat,;1W0W01W 0W1W0W1W01W
esta pahuruch -no sab hon se te-l peu-;01W01 W0W0W1W0W0W1W
 danar avant, perque no y veu petjada;01W01W 01W0_0W1W01x
 no vol ne pot usar de cami pla,;0W1W0W1W 01W0W01W1W
tornar no sab, perque altri�l porta,;01W0W1W 01W101W01
que ell per si no fera tal jornada.;0W1W0W1W 0W10W1W01x
;
Mos ulls da�o han feta la bugada;0W1W01W 0W10W1W01x
 e tots mos senys si son volguts mesclar;0W1W0W1W 0W1W01W01xW
yo pena-n pas, mas no y puch contrastar,;0W10W1W 0W0_0W1W001W
 perqu'algun tant ab delit es mesclada.;001W1W 0W01W1W01xW
 Amor me vol e Fortuna-m desvia,;01W0W1W 1W010W01xW
 a tals contrasts no basta mon poder;0W1W01W 0W10W1W01W
sens ellal mon remey no puch haver.;0W10W1W 01W0W1W01W
Donchs dir meu vos ja de mi que us paria!;0W1W0W1W 1W0W1W0W0W1xW 
