Io canto la montagna de Parnaso;0W10W1W01 0W1W01xW
E li fuonte e ciardine c'have a lato,;0W0W10_0W01 0W10_0W1xW
E a che mandrullo chi nce saglie a caso;0_0W1W01 0W1W0W10_0W1xW
Pe decreto de Febo è 'ncaforchiato.;0W010W0W1 0_0W101xW
Musa, è la quinta vota che de naso;10_1W0W10W10W1W0W1xW    
Io dongo a st'acqua, mo che so' assetato!;0W10_0W10W 1W0W1_001xW
Se vuoie crescere tu quanto te devo,;0W1W100W1W 10W0W1xW
Famme na grazia, sisca mentre vevo.;10W0W10W 10W10W1xW
;
E tu che saglie e scinne a boglia toia;0W1W0W10_0W1 0_0W10W1xW
Da llà 'ncoppa, e non haie chi te lo beta,;0W0W10_0W 0W1W0W0W0W1xW
Segno' D<on> Dieco, e nne la grazia soia;01W0W10_0W 1W0W10W1xW
Te tene lo gran Re d'ogne Poeta,;0W10W0W0W1W 10W01xW
O de le Muse cuccopinto e gioia,;1W0W0W1 0W1010_0W1xW
Ausoléia dall'a pe fi' a la nzeta,;1010W 0W1W0W1_0W0W1xW
Ca si me vene netta, n'autro iuorno;0W0W0W10W1 0W10W1xW
Lo nomme tuo lavoro a meglio tuorno.;0W10W1W010_0W10W1xW
;
Avea già co lo tiempo e co la sciorte;01W0W0W0W10_0W0W0W1xW
Iocato li meglio anne de la vita,;010W0W1_010W0W0W1xW
E perzo fi' a li fielece e le sporte;0W10W1_0W 0W100_0W0W1xW
Senza vencere maie nulla partita,;10W100W1W 10W01xW
Tristo dinto e peo fore de la corte,;10W10_0W 1W10W0W0W1xW
Ca pe tutto è bertù vrenna o redita;0W0W10_1W01W 10_0W01xW
A l'ùtemo no cricco desperato;0W100W 0W10W101xW
Me disse: muta luoco e muta stato.;0W10W 10W10_0W10W1xW
;
Dove iarraggio, 'n Franza o a Lommardia?;10W01 0W10_0_0W101xW
Nigro me, ca pe tutto nc'è travaglio!;10W0W 0W0W10W1W01xW
Povera e nuda vaie, Filosofia!;100_0W10W1W 0101xW
Dovonca arrive non t'è dato n'aglio,;010_01 0W0W0W10W1xW
Chi la vertù canosce non ha cria!;1W0W01W01 0W0W0W1xW
Con chi pò dare aiuto non c'è taglio:;0W1W0W10_01 0W1W0W1xW
Pe tutto la Fortuna te trabocca,;0W10W0W01 0W0W01xW
E maie non àscie chi te sputa 'mmocca!;0W1W0W1 0W1W0W10W1xW
;
Cossì dicenno, vénneme 'n crapiccio;01W010W 100W01xW
De ire dove Febo è gran Signore,;0W10W10W10_0W1W01xW
E sta a la serpentina co lo miccio;0W1_0W0W001 0W0W0W1xW
Pe fare bene a ogn'ommo de valore;0W10W1_0W 1W10W0W01xW
E quanto bello na matina alliccio,;0W10W1 0W0W010_01xW
Napole mio lassanno, e pe faore;100W1W01 0_0W0W01xW
De Febo stisso, assaie lieto e felice;0W10W10_01W10_0W01xW
N quinnece mise sto vïaggio fice.;100W1 0W1W010W1xW
;
N miezo a lo munno (e dica chi le piace;10_0W0W1 0_0W10W1W0W1xW
Ca 'm–Beozia o a Gragnano sta 'Lecona);1W010_0_0W01 0W0W01xW
Senza autro a tuorno na montagna stace,;10_10_0W1 0W0W010W1xW
Dove non pò saglire ogne perzona;10W0W1W010_10W01xW
N chesta né caudo maie né friddo face,;10W0W10W1 W0W10W1xW
N chesta maie non chiovélleca né tròna,;10W1W 0W0100W0W1xW
Ma sempe è maggio, e perzò sempe siente;0W10_0W10_0W01W10W1xW
Arraglie de felice e de contiente.;010W0W010_0W0W01xW
;
Ncoppa a la cimma soia è no palazzo,;10_0W0W10W10_0W1W01xW
O bene mio, che maiestria de spanto!;0W10W1W 0W101W0W1xW
Dove le Muse e Febo co sollazzo;10W0W10_0W1 0W0W01xW
Ad ogne tiempo stanno 'n riso e 'n canto.;0W10W10W1 0W10_0W1xW
Non è opera già de quatto a mazzo!;0W1W100W0W 0W10_0W1xW
De le fràveche tutte porta vanto;0W0W100W1 0W10W1xW
Che foro fatte a forza de tornise;0W10W10_0W1 0W0W01xW
A tiempo de Romane o de Franzise.;0W10W0W010_0W0W01xW
;
Tutto de preta pommece e mautune;10W0W10W 100_0W01xW
E fatto, a la zemina lavorato,;0W10_0W0W100W001xW
A quatto cante, a quatto torrïune,;0W10W1 0_0W10W001xW
Che pare no castiello spiccecato.;0W10W0W010W 001xW
Saglie a la porta pe tre scalantrune;10_0W0W10W 0W0W001xW
E truove na cocina a primmo 'ntrato,;0W10W0W010_0W10W1xW
Dove chi arriva friddo e s'ascia stracco;10W0W10W1 0_0W10W1xW
Se pò scarfare e 'nchìrese lo sacco:;0W1W010_0W100W0W1xW
;
Perché, tra l'autre cose degne e belle;01W 0W10W10W 10_0W1xW
Che Febo ha 'n uso, primmo che poeta;0W10_0W10W 10W0W01xW
Le parle, vò che s'énchia le bodelle,;0W10W 1W0W10W0W01xW
Ca non s'accorda Museca e Dïeta.;0W0W010W 100_0W01xW
O stile de 'nnauzàrese a le stelle!;0W10W0W 0100_0W0W1xW
O che piatosa deïtà descreta!;0W1W010W 001W01xW
All'autre parte canta puro e berna,;0W10W10W10W 10_0W1xW
Ca allanche se no' spienne a na taverna.;0_010W0W0W1 0_0W0W01xW
;
Passata sta cocina àscie na sala,;010W0W010_ 10W0W1xW
Dinto na stalla, accanto a na despenza;10W0W1 0_010_0W0W01xW
Da llà pe no recuoncolo se cala;0W1W0W0W0100W 0W1xW
A no soppigno, fatto p'azzellenza;0W0W010W 10W101xW
Ecco, a na gallaria vaie pe na scala,;10_0W0W001W 1W0W0W1xW
(Perdòneme lo Duca de Sciorenza!);0100W 0W10W0W01xW
Ca chesta a pede chiuppo passa chella,;0W10_0W10W10W 10W1xW
C'ha tanto nomme che sia ricca e bella.;0W10W10W 0W0W10_0W1xW
;
A desfazio de Fidia e Tizïano;0W010W0W10_0W001xW
Libre a bizzeffa, a fascio le scritture,;10_0W010_0W10W0W01xW
Quale stampate e quale fatte a mano;10W01 0_0W10W10_0W1xW
Le perne e gioie a tómmola, e mesure;0W10_0W10_0W10 0_0W01xW
Che no' lo pò contare 'nciegno umano:;0W0W0W1W010W 10_01xW
Lo sanno chille a chi fece Minerva;0W10W1 0_0W0W10W01xW
Lo vagno d'uoglio e la sepposta d'erva.;0W10W1 0_0W0W010W1xW
;
Lloco sta Febo, et ha le sore a lato,;10W0W10_0W0W0W10_0W1xW
Ch'ognuna tene 'mmano no stromiento;010W10W10W 1W01xW
Da na gran corte stace 'ntornïato;0W0W10W10W 001xW
D'uommene vertoluse a ciento a ciento.;100W001 0_0W10_0W1xW
Io, dapo' che llà 'ncoppa fui arrivato,;1W01W0W0W10W 1W01xW
Traso la porta, ch'è d'oro e d'argiento,;10W0W10W 0W10_0W01xW
E 'mmiezo a doie colonne veo no mutto:;0W10_0W1W010W 1W0W1xW
«Chi trase aseno miezo, n'esce tutto».;0W10_100W10W 10W1xW
;
Passo cchiù 'nnanze, e tanto giro 'ntuorno;10W0W1 0_0W10W10W1xW
C'arrivo dove Febo stea seduto,;010W10W10W 1W01xW
E a lo prenzipio aviette tanto scuorno;0_0W0W01 0_010W10W1xW
Che pe spanto e stopore restaie muto;0W0W10_0W010W 01W1xW
Po' m'addenocchio, e dìcole: «Buon iuorno».;1W001 0_0W100W0W1xW
Isso m'abbraccia e dice: «Benmenuto!;10W010_0W10W101xW
;
;
;
Io lo rengrazio, et isso lebrecaie:;1W0W010_0W10W001W
«Io voglio che te iove sto vïaggio,;0W10W0W0W10W1W01xW
E azzò de me te laude sempe maie;0_01W0W0W0W10W 10W1xW
Ecco, t'abbraccio, e azzèttote pe paggio.;10W 01_0W 0100W0W1xW
Va' t'arreposa, mo sta sera o craie;1W001W 1W0W10_0W1xW
Voglio c'agge no buono veveraggio».;10W10W 0W10W001xW
Che core pienze che faciette, tanno,;0W10W10W 0W010W1xW
Se be' ogne punto me pareva n'anno?;0W0_10W10W 0W010W1xW
;
;
;
La sera aspetto, commo tavernaro;0W10_010W 10W001xW
Ch'aspetta lo percaccio, e po' non vene.;010W0W010_0W1W0W1xW
Ecco, lo Sole se 'ncaforchia a maro,;10W0W10W 0W010_0W1xW
Foienno pe li dèbete che tene;010W0W0W100W0W1xW
Ecco, lo preggia l'Arba, e lustro e chiaro;10W0W10W10_0W10_0W1xW
Se mostra: io conto l'ore. O Dio, che pene!;0W10_0W10W10_0W1W0W1xW
Quanno Febo me chiamma, e bò che trasa;10W10W0W10_0W1W0W1xW
A no bello ciardino de sta casa.;0W0W10W010W 0W0W1xW
;
;
;
Llà tu vide na rosa moscarella;1W0W10W 0W10W001xW
Che 'mmiezo nc'è nasciuto no cetrulo,;0W10W1W 010W1W01xW
Llà bide c'a na fico troianella;0W10W0W 0W10W001xW
Nce sponta a corneciello lo fasulo:;0W10_0W0010W 0W01xW
Vide da na lattuca mortarella;10W0W0W 010W001xW
Scire la falanghina de Pezzulo,;10W0W0010W 0W01xW
E da no milo sciuoccolo o amarena;0W0W0W10W10 0_0_001xW
Pezze de caso cchiù ca n'è l'arena.;10W0W10W 1W0W1W01xW
;
;
;
Spallère ha de cocozze e molegnane,;010_1W0W 010_0W001xW
Prègole de cetrola e de cepolle,;100W0W010_0W 0W01xW
Quatre de mercolella e maiorane,;10W0W0010_0W001xW
Conzierte de vorracce e fogliamolle,;010W0W010_0W101x
Pe mmiezo no gran frùscio de fontane;0W10W0W0W10W 0W01xW
