Par un sentier inconneu à mes yeux;0W0W01W 001W0W0W1
Vostre grandeur sur ses ailes me porte,;00W01W 0W0W10W0W1x
Ou de Phoebus la main sçavante, et forte,;0W0W01W 0W1W010_0W1x
Guide le frein du chariot des cieulx.;10W0W1W 0W001W0W1
Là elevé au cercle radieux;1W001W 0W10W001
  Par un Demon heureux, qui me conforte,;0W0W01W 01W0W0W01x
  Celle fureur tant doulce j’en rapporte,;00W01W 0W10W0_0W01x
  Dont vostre nom j’egalle aux plus haulx dieux.;0W00W1W 0_010_0W0W0W1
O Vierge donc, Sous qui la Vierge Astrée;0W10W1W 0W0W0W10_01x
  A faict encor’en nostre siecle entrée !;0W1W01W 0W00W10_01x
  Prenez en gré ces poëtiques fleurs.;01W0W1W 0W0010W1
Ce sont mes vers, que les chastes Carites;0W1W0W1W 0W0W10W01x
  Ont emaillez de plus de cent couleurs;1W001W 0W1W0W0W01
  Pour aler voir la fleur des MARGUERITES.;0W00W1W 0W1W0W001x
Je ne quiers pas la fameuse couronne,;0W0W0W1W 0W010W01x
 Sainct ornement du Dieu au chef doré,;1W001W 0W1W0W1W01
 Ou que du Dieu aux Indes adoré;0W0W0W1W 0W10W001
 Le gay chapeau la teste m’environne.;0W1W01W 0W10W001x
Encores moins veulx-je que l’on me donne;010W1W 1W0W0W0W0W1x
 Le mol rameau en Cypre decoré,;0W1W01W 0W10W001
 Celuy, qui est d’Athenes honoré;01W0W1W 010W001
 Seul je le veulx, et le Ciel me l’ordonne.;1W0W0W1W 0W0W1W0W01x
O tige heureux, que la sage Déesse;0W10_01W 0W0W10W01x
 En sa tutelle, et garde a voulu prendre,;0W0W01 0_0W10_0W00W1x
 Pour faire honneur à son sacré autel !;0W1W01W 0W0W01W01
Orne mon chef, donne moy hardiesse;10W0W1W 10W1W001x
 De te chanter, qui espere te rendre;0W0W01W 0W010W0W1x
 Egal un jour au laurier immortel.;01W0W1W 0W01W001
D’amour, de grace, et de haulte valeur;01W0W1W 0W0W10W01
 Les feux divins estoient ceinctz, et les cieulx;0W1W01W 00W1W0W0W1
 S’estoient vestuz d’un manteau precieux;000W01 W0W00W01
 A raiz ardens, de diverse couleur.;0W0W01W 0W000W01
Tout estoit plein de beauté, de bonheur;1W00W1W 0W01W0W01
 La mer tranquille, et le vent gracieulx,;0W1W01W 0W0W1W001
 Quand celle là naquit en ces bas lieux;0W10W1W 01W0W0W0W1
 Qui a pillé du monde tout l’honneur.;0W0W01W 0W10W0W01
Ell’prist son teint des beaux lyz blanchissans,;0W1W0W1W 0W0W1W001
 Son chef de l’or, ses deux levres des rozes,;0W1W0W1W 0W0W10W0W1x
 Et du soleil ses yeux resplandissans.;0W0W01W 0W1W0001
Le ciel usant de liberalité;0W1W01W 0W00001
 Mist en l’esprit ses semences encloses,;1W0W01W 0W010W01x
 Son nom des Dieux prist l’immortalité.;0W1W0W1W 1W00001
Loyre fameux, qui ta petite source;10W01W 0W0W010W1x
 Enfles de maintz gros fleuves, et ruysseaux,;10W0W1W 0W10W0W01
 Et qui de loing coules tes cleres eaux;0W0W0W1W 10W0W10W1
 En l’Ocean d’une assez vive course.;0W001W 00_00W10W1x
Ton chef royal hardiment bien hault pousse;0W1W01W 001W0W0W1x
 Et apparoy entre tous les plus beaux;0W001W 10W1W0W0W1
 Comme un thaureau sur les menuz troupeaux;10_0W01 W0W0W01W01
 Quoy que le Pau envieux s’en courrousse.;1W0W0W1W 001W0W01x
Commande doncq’aux gentiles Naiades;010W1W 0W010W01x
 Sortir dehors leurs beaux palais humides;01W01W 0W1W01W01x
 Avecques toy, leur fleuve paternel.;010W1W0W10W001
Pour saluer de joyeuses aubades;0W001W 0W010W01x
 Celle qui t’a, et tes filles liquides;10W0W1W 0W0W10W01x
 Deifié de ce bruyt eternel.;0001W 0W0W1W001
L’heureuse branche à Pallas consacrée,;010W10W 0W01W001x
 Branche de paix, porte le nom de celle;10W0W1W 10W0W1W0W1x
 Qui le sens m’oste, et soubz grand’beauté cele;0W0W0W10_0W1W0W01W1x
 La cruaulté, qui à Mars tant agrée.;0W001W 0W0W1W0W01x
Delaisse donq’ô cruelle obstinée !;010W1W 0W010_001x
 Ce tant doulx nom, ou bien te monstre telle,;0W1W0W1W 0W1W0W10W1x
 Qu’ainsi qu’en tout sembles estre immortelle,;0_01W0_0W1W 10W10_001x
 Sembles le nom avoir par destinée.;10W0W1W 01W0W001x
Que du hault ciel il t’ait eté donné,;0W0W0W1W 0W1W01W01
 Je ne suis point de le croire etonné,;0W0W0W1W 0W0W10_001
 Veu qu’en esprit tu es la souveraine :;1W0_0W01W 0W1W0W001x
Et que tes yeux, à ceulx qui te contemplent,;0W0W0W1W 0W1W0W0W01x
 Cœur, corps, esprit, sens, ame, et vouloir emblent;1W1W01W 1W10_0W01W1x
 Par leur doulceur angelique, et seraine.;0W0W01W 0010_0W01x
C’etoit la nuyt que la divinité;01W0W1W 0W0W0001
 Du plus hault ciel en terre se rendit;0W1W0W1W 0W10W0W01
 Quand dessus moy Amour son arc tendit;1W00W1W 01W0W1W01
 Et me fist serf de sa grand’deité.;0W0W0W1W 0W0W1W001
Ny le sainct lieu de telle cruaulté,;0W0W0W1W 0W10W001
 Ny le tens mesme assez me deffendit :;0W0W0W10_01W0W001
 Le coup au cœur par les yeux descendit;0W1W0W1W 0W0W1W001
 Trop ententifz à ceste grand’beauté.;1W001W 0W10W0W01
Je pensoy’bien que l’archer eust visé;0W00W1W 0W01W0W01
 A tous les deux, et qu’un mesme lien;0W1W0W1W 0W0_0W10W01
 Nous deust ensemble egalement conjoindre.;0W1W010_0001W01x
Mais comme aveugle, enfant, mal avisé,;0W10_010_01W1W001
 Vous a laissée (helas) qui eties bien;0W0W01W 01W0W00W1
 La plus grand’proye, et a choisi la moindre.;0W0W0W10_0W0W010WW1x
Comme on ne peult d’œil constant soustenir;10_0W0W1W 1W01W001
 Du beau Soleil la clarté violente,;0W1W01W 0W01W001x
 Aussi qui void vostre face excellente,;01W0W1W 00W10W01x
 Ne peult les yeulx assez fermes tenir.;0W1W0W1W 00W10W01
Et si de près il cuyde parvenir;0W0W0W1W 0W10W001
 A contempler vostre beauté luysante,;0W001W 00W01W01x
 Telle clarté à voir luy est nuysante;00W01W 0W1W0W1W01x
 Et si le faict aveugle devenir.;0W1W0W1W 010W001
Regardez doncq’si suffisant je suys;000W1W 0W001W0W1
 A vous louer, qui seulement ne puys;0W0W01W 0W001W0W1
 Voz grands beautez contempler à mon gré.;0W0W01W 001W0W0W1
Que si mes yeulx avoient un tel pouvoir,;0W0W0W1W 01W0W1W01
 J’estimeroy’plus fermes les avoir,;0_0001W 0W10W0W01
 Que n’a l’oyseau à Jupiter sacré.;0W1W01W 0W001W01
De grand’beauté ma Déesse est si pleine,;0W1W01W 0W010_0W0W1x
 Que je ne voy’chose au monde plus belle.;0W0W0W1W 10_0W10W0W1x
 Soit que le front je voye, ou les yeulx d’elle,;0W0W0W1W 0W10_0W0W0W1x
 Dont la clarté saincte me guyde, et meine.;0W0W01W 10W0W10_0W1x
Soit ceste bouche, ou souspire une halaine,;1W00W10_0W010_00_01x
 Qui les odeurs des Arabes excelle,;0W0W01W 0W010W01x
 Soit ce chef d’or, qui rendroit l’estincelle;1W0W0W1W 0W01W001x
 Du beau Soleil honteuse, obscure et vaine.;0W0W01W 010_010_0W1x
Soient ces cousteaux d’albastre, et main polie,;1W0W01W 010_0W1W01x
 Qui mon cœur serre, enferme, estreinct, et lie,;0W0W0W10_010_01W0W1x
 Bref, ce que d’elle on peult ou voir, ou croyre,;1W0W0W10_0W1W0W1W0W1x
Tout est divin, celeste, incomparable :;1W0W01W 010_0001x
 Mais j’ose bien me donner ceste gloyre,;0W10W1W 0W01W00W1x
 Que ma constance est trop plus admirable.;0W0W010_0W0W1W0W01x
Auray’-je bien de louer le pouvoir;01W0W1W 0W01W0W01
 Ceste beauté, qui decore le monde ?;00W01W 0W010W0W1x
 Quand pour orner sa chevelure blonde;1W0W01W 0W0010W1x
 Je sens ma langue ineptement mouvoir ?;0W1W0W10_0001W01
Ny le romain, ny l’atique sçavoir,;0W0W01W 0W010W01
 Quoy que là fust l’ecolle de faconde,;1W0W0W1W 010W0W01x
 Aux cheveulx mesme, où le fin or abonde,;0W00W10_0W0W0W1W01x
 Eussent bien faict à demy leur devoir.;10W0W1W 0W01W0W01
Quand je les voy’si reluysans, et blons,;1W0W0W1W 0W001W0W1
 Entrenouez, crespes, egaulx et longs,;0001W 10W01W0W1
 Je m’esmerveille, et fay’telle complaincte.;0W0010_0W1W00W01x
Puis que pour vous (cheveulx) j’ay tel martyre,;1W0W0W1W 01W0W1W01x
 Que n’ay-je beu à la fontaine saincte ?;0W1W0W1W 0W0W010W1x
 Je mourroy’cygne, ou je meurs sans mot dire.;0W00W10_0W0W1W0W0W1x
Garde toy bien ô gracieux Zephire !;10W1W1W 0W001W01x
 D’empestrer l’esle en ces beaulx nœuds epars,;001W10_0W0W0W1W01
 Que çà, et là, doulcement tu depars,;0W1W0W1W 001W0W01
 Sur ce beau col de marbre, et de porphire.;0W0W0W1W 0W10_0W0W01x
Si tu t’y prens, plus ne vouldras nous ryre;0W0W0W1W 1W0W01W0W1x
 Le verd printemps : ainçoys de toutes pars;0W1W01W 01W0W10W1
 Flore voyant que d’autre amour tu ards,;10W01W 0W10_01W0W1
 Fera ses fleurs dessecher par grand’ire.;01W0W1W 001W0W0W1x
Que dy-je las ! Zephire n’est-ce point,;0W1W0W1W 010W1W0W1
 C’est toy Amour, qui voles en ce point,;1W1W01W 0W10W0W0W1
 Tout à l’entour, et par dedans ces retz.;1W0W01W 0W0W01W0W1
Que tu as faictz d’art plus laborieux;0W0W0W1W 1W0W0001
 Que ceulx, ausquelz jadis feurent serrez;0W1W01W 01W10W01
 Ta doulce mere, et le Dieu furieux.;0W10W10_0W0W1W001
